 x_m, y_m, vx_mps, ax_mps2
36.0548416,448.9496167,63.3563865,-9.8678311
36.2301715,450.9416152,63.0441616,-10.8530684
36.4055909,452.9336055,62.6989678,-11.7627093
36.5810872,454.9255888,62.3226829,-13.3736388
36.7566478,456.917567,61.8920858,-14.0081261
36.9322604,458.9095404,61.4378239,-14.5759394
37.1079137,460.9015098,60.9615552,-15.3194172
37.2835971,462.8934772,60.4569496,-15.3197427
37.4592998,464.8854426,59.9480859,-15.3050403
37.6350136,466.8774066,59.4353602,-15.2248425
37.810734,468.8693708,58.9208946,-15.1218736
37.9864586,470.8613343,58.4054229,-15.0166973
38.1621853,472.8532971,57.8889943,-14.9399689
38.3379116,474.8452609,57.3705915,-14.8380445
38.5136367,476.8372243,56.8510467,-14.7336373
38.6893602,478.8291874,56.3304165,-14.6605069
38.8650826,480.8211515,55.8075498,-14.5595494
39.0408045,482.8131153,55.2833896,-14.4558062
39.2165262,484.8050784,54.7580007,-14.38637
39.3922482,486.7970426,54.2300821,-14.2862952
39.5679704,488.7890063,53.7007004,-14.1830989
39.7436927,490.7809694,53.169929,-14.117472
39.9194153,492.7729336,52.6362988,-14.0181875
40.0951378,494.7648973,52.1010137,-13.9154073
40.2708602,496.7568603,51.5641578,-13.8537294
40.4465827,498.7488245,51.0240706,-13.7551338
40.622305,500.7407883,50.4821109,-13.6526219
40.7980273,502.7327512,49.9383744,-13.5950627
40.9737496,504.7247155,49.3909826,-13.4970432
41.1494719,506.7166792,48.8414691,-13.3946311
41.3251941,508.7086421,48.2899434,-13.3413974
41.5009164,510.7006065,47.7342756,-13.2438275
41.6766387,512.6925703,47.1761987,-13.1413203
41.8523608,514.6845331,46.6158379,-13.0926655
42.0280831,516.6764975,46.0507715,-12.9954014
42.2038052,518.6684613,45.4829612,-12.8925709
42.3795273,520.6604241,44.9125509,-12.8488067
42.5552495,522.6523886,44.3367763,-12.7516828
42.7309716,524.6443523,43.7578641,-12.6482581
42.9066936,526.6363151,43.1759799,-12.609771
43.0824157,528.6282797,42.587953,-12.5125943
43.2581377,530.6202433,41.9963199,-12.4082478
43.4338596,532.6122061,41.4012724,-12.3755217
43.6095817,534.6041712,40.7991508,-12.2780537
43.7853036,536.5961333,40.1928585,-12.1723695
43.9610269,538.5880972,39.5826189,-12.1458576
44.1367574,540.5800665,38.9641834,-12.0478304
44.3125118,542.5720428,38.3408857,-11.9403341
44.4882856,544.5639823,37.7129866,-11.9212045
44.6640705,546.5559633,37.0754866,-11.8222402
44.8398549,548.5479194,36.4322639,-11.7122295
45.0156376,550.5398563,35.7836273,-11.7008437
45.191424,552.531832,35.1236621,-11.6005848
45.3672089,554.523789,34.4568756,-11.4871894
45.5429927,556.5157302,33.7836414,-11.484987
45.7187793,558.5077011,33.0968486,-11.3830277
45.8945648,560.4996577,32.4017919,-11.2651059
46.0703496,562.4916039,31.6989348,-11.2738694
46.2461364,564.4835699,30.9795702,-11.169641
46.421922,566.4755256,30.2499904,-11.0455531
46.5977079,568.4674773,29.5107836,-11.0678609
46.7734954,570.4594387,28.7510272,-10.9605763
46.9492764,572.4513917,27.9783103,-10.8278754
47.1250659,574.4433509,27.1933973,-10.8676205
47.3008667,576.4353118,26.3821324,-10.7561794
47.4765876,578.4272505,25.5538384,-10.6017956
47.6524283,580.419224,24.7102783,-10.4572187
47.8292416,582.411121,23.8490097,-10.0731131
48.0093122,584.402599,22.9888858,-9.6798818
48.1963486,586.3935304,22.1308645,-9.039504
48.3957154,588.3826337,21.2984174,-8.4008281
48.6157493,590.3696597,20.4944949,-7.8121789
48.8670669,592.3545396,19.7175126,-6.809407
49.1612338,594.3311363,19.0143832,-6.1053657
49.5117707,596.2990694,18.3610724,-5.4875574
49.9328159,598.2559276,17.7533672,-4.4714141
50.4357384,600.1874825,17.242363,-4.0340949
51.0343307,602.0938453,16.7679792,-3.5919562
51.7401429,603.9685866,16.3339971,-3.166893
52.5536787,605.7857075,15.9415744,-3.0068114
53.4873053,607.5603716,15.5598315,-2.8278091
54.5176554,609.2771273,15.1920644,-2.745677
55.657157,611.0078092,14.8262525,-2.7437497
56.8522973,612.5927253,14.4514502,-2.9038684
58.2151155,613.9732451,14.0438843,-2.2670731
59.7889229,615.1855813,13.7172795,-0.1945206
61.4721411,616.2834913,13.688893,0.6410256
63.2250769,617.2227987,13.7822171,0.6815292
65.0487552,617.997244,13.8807498,0.6653936
66.9587449,618.6190896,13.9762796,0.7618509
68.9243022,619.0718117,14.0848619,2.3311618
70.8966161,619.3507111,14.4120291,4.1094682
72.8906637,619.5056224,14.9713721,5.1026387
74.8953128,619.6241428,15.6380776,0.4140003
76.8872174,619.8009755,15.690928,-1.7686392
78.8780586,620.0730056,15.4638847,-3.616394
80.829611,620.4630667,14.9889402,-2.7346804
82.7709915,621.0079221,14.6195503,-2.618733
84.6555124,621.706525,14.2568542,-2.5344798
86.4557179,622.5515674,13.8968161,-2.5714242
88.1738446,623.5523229,13.5217361,-2.5472967
89.7937246,624.7224964,13.139623,-1.3519002
91.2577203,626.0522247,12.9322428,0.0730651
92.5805074,627.5429426,12.9435359,0.4542073
93.7582118,629.1722923,13.013519,0.3617781
94.7673902,630.8983817,13.0689928,0.2501535
95.5970262,632.7246134,13.1072131,1.7631604
96.2054543,634.6016713,13.3735043,2.4090042
96.6330324,636.5555129,13.7289907,2.8740672
96.9084163,638.5600884,14.1414188,2.8882349
97.0529829,640.5539801,14.5441029,3.0934587
97.0954955,642.5615509,14.9633854,3.3029885
97.0507986,644.5545583,15.3984698,3.8062743
96.9281762,646.5539094,15.8850773,4.116368
96.7354179,648.5417059,16.3950809,4.4831816
96.4829545,650.5239763,16.9330655,4.8969942
96.1852786,652.5022182,17.501821,5.1276113
95.8543815,654.473515,18.0781941,5.3583176
95.4986824,656.4409488,18.6614884,5.4183706
95.1241655,658.4055398,19.2333402,5.4670641
94.7338509,660.3665726,19.7935935,5.4674259
94.3288026,662.3246503,20.3384552,5.4012285
93.9093117,664.2799669,20.8627521,5.4270479
93.4758578,666.2320177,21.3766076,5.4261607
93.028707,668.1810159,21.8783165,5.3658918
92.5681082,670.1269357,22.3633869,5.3871311
92.0946062,672.0697113,22.8400166,5.386984
91.6090602,674.0095891,23.3068886,5.333768
91.1127579,675.9466309,23.760112,5.3513452
90.6069447,677.8812946,24.2063026,5.3505419
90.0929058,679.8138714,24.644351,5.300398
89.5719687,681.7443956,25.0707487,5.3142688
89.0452397,683.6734974,25.4911028,5.3116962
88.5138303,685.601395,25.904438,5.2634753
87.9787924,687.5281377,26.3076158,5.2744945
87.4410479,689.4542463,26.7055323,5.2704791
86.9016104,691.3798268,27.0973098,5.2250684
86.3613902,693.3051723,27.4801989,5.2336422
85.8212044,695.2305367,27.8584413,5.2281998
85.2818246,697.1561176,28.2312311,5.1849696
84.7439703,699.0821432,28.5961391,5.1915247
84.2083351,701.0087737,28.9569015,5.1849976
83.6755733,702.9361823,29.3127791,5.1436785
83.1462928,704.8645933,29.6616021,5.148467
82.621109,706.7940931,30.0066895,5.1409823
82.1005941,708.7248366,30.3473599,5.1011612
81.5852836,710.6570335,30.681653,5.1043495
81.0757389,712.590717,31.0125484,5.0960038
80.5724759,714.526025,31.3394178,5.0572897
80.0759813,716.4631431,31.6604679,5.0590131
79.5867729,718.4020663,31.9784027,5.0499014
79.1053203,720.3429154,32.2926432,5.0120035
78.6320696,722.2858421,32.6015307,4.9861459
78.1674862,724.2308068,32.9059477,4.9365639
77.7120009,726.177916,33.2045882,4.8328006
77.2660146,728.1272436,33.4943723,4.7957382
76.8296445,730.0789604,33.7794767,4.7424697
76.4030774,732.0325153,34.0590674,4.648993
75.9862619,733.9890445,34.3309372,4.6156586
75.5803228,735.9471207,34.5987443,4.5692749
75.1859372,737.9069062,34.8618338,4.4825089
74.8030149,739.8704801,35.1180125,4.4503739
74.4323341,741.8354721,35.3705191,4.4097269
74.0741417,743.8019543,35.6189539,4.3276236
73.7281965,745.7725196,35.8610899,4.2972447
73.3952044,747.744273,36.0999191,4.264576
73.075275,749.7170497,36.3353808,4.1873119
72.7681126,751.6939509,36.5651013,4.1596744
72.4751671,753.6711426,36.7918853,4.1308952
72.1963263,755.6511187,37.0157254,4.060575
71.9312272,757.632517,37.2344435,4.0284478
71.6789399,759.6160374,37.4501689,4.0023124
71.4389351,761.6019725,37.6632712,3.9474669
71.2112283,763.5882295,37.8722786,3.9153811
70.9953425,765.5760304,38.078454,3.893671
70.790874,767.5658418,38.282385,3.8479902
70.5976363,769.5559541,38.4828617,3.8159359
