x,y,l_width,r_width
49.6273,565.25838,5,5
49.7152,566.25451,5,5
49.8031,567.25064,5,5
49.89101,568.24677,5,5
49.97891,569.24289,5,5
50.06681,570.23902,5,5
50.15472,571.23515,5,5
50.24262,572.23128,5,5
50.33052,573.22741,5,5
50.41842,574.22354,5,5
50.50633,575.21967,5,5
50.59423,576.2158,5,5
50.68213,577.21193,5,5
50.77004,578.20806,5,5
50.85794,579.20419,5,5
50.94584,580.20031,5,5
51.03374,581.19644,5,5
51.12165,582.19257,5,5
51.20955,583.1887,5,5
51.29745,584.18483,5,5
51.38535,585.18096,5,5
51.47326,586.17709,5,5
51.56116,587.17322,5,5
51.64906,588.16935,5,5
51.73697,589.16548,5,5
51.82487,590.1616,5,5
51.91277,591.15773,5,5
52.00067,592.15386,5,5
52.08858,593.14999,5,5
52.17648,594.14612,5,5
52.26438,595.14225,5,5
52.35229,596.13838,5,5
52.44019,597.13451,5,5
52.52809,598.13064,5,5
52.61599,599.12677,5,5
52.7039,600.1229,5,5
52.7918,601.11902,5,5
52.8797,602.11515,5,5
52.96761,603.11128,5,5
53.05551,604.10741,5,5
53.14341,605.10354,5,5
53.23131,606.09967,5,5
53.31922,607.0958,5,5
53.40712,608.09193,5,5
53.49502,609.08806,5,5
53.58293,610.08419,5,5
53.67083,611.08031,5,5
53.75873,612.07644,5,5
54.12123,613.00217,5,5
54.58259,613.88911,5,5
55.10632,614.74074,5,5
55.68979,615.55261,5,5
56.33018,616.32038,5,5
57.02382,617.04039,5,5
57.76713,617.70899,5,5
58.55627,618.32281,5,5
59.38721,618.87876,5,5
60.25568,619.37404,5,5
61.15725,619.80617,5,5
62.08744,620.17268,5,5
63.04142,620.47184,5,5
64.01425,620.70234,5,5
65.00102,620.86305,5,5
65.99672,620.95315,5,5
66.9963,620.97222,5,5
67.99472,620.92014,5,5
68.98692,620.79717,5,5
69.97296,620.63561,5,5
70.96809,620.53704,5,5
71.96322,620.43848,5,5
72.95836,620.33992,5,5
73.95349,620.24135,5,5
74.94862,620.14279,5,5
75.94375,620.04422,5,5
76.93888,619.94566,5,5
77.93401,619.84709,5,5
78.92914,619.74853,5,5
79.92427,619.64997,5,5
