s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
383.9422753; 30.3379227; 383.2076500; -0.0862030; -0.0000007; 64.1317106; 0.2894329
385.9419746; 30.5100911; 385.1999236; -0.0862049; -0.0000013; 64.1407348; 0.2885432
387.9416740; 30.6822645; 387.1921972; -0.0862081; -0.0000019; 64.1497300; 0.2876977
389.9413733; 30.8544456; 389.1844703; -0.0862126; -0.0000027; 64.1586976; 0.2860211
391.9410727; 31.0266374; 391.1767420; -0.0862189; -0.0000036; 64.1676117; 0.2851413
393.9407720; 31.1988435; 393.1690127; -0.0862271; -0.0000047; 64.1764972; 0.2843056
395.9404714; 31.3710684; 395.1612820; -0.0862377; -0.0000059; 64.1853553; 0.2826487
397.9401707; 31.5433167; 397.1535489; -0.0862508; -0.0000073; 64.1941607; 0.2817781
399.9398701; 31.7155941; 399.1458135; -0.0862669; -0.0000089; 64.2029377; 0.2809515
401.9395694; 31.8879068; 401.1380751; -0.0862863; -0.0000106; 64.2116877; 0.2793127
403.9392688; 32.0602618; 403.1303328; -0.0863093; -0.0000125; 64.2203856; 0.2784506
405.9389681; 32.2326665; 405.1225864; -0.0863364; -0.0000146; 64.2290554; 0.2776322
407.9386675; 32.4051294; 407.1148350; -0.0863677; -0.0000168; 64.2376986; 0.2760098
409.9383668; 32.5776593; 409.1070776; -0.0864037; -0.0000192; 64.2462901; 0.2751551
411.9380662; 32.7502656; 411.0993137; -0.0864445; -0.0000217; 64.2548539; 0.2743439
413.9377655; 32.9229582; 413.0915423; -0.0864904; -0.0000242; 64.2633913; 0.2727364
415.9374649; 33.0957473; 415.0837625; -0.0865414; -0.0000268; 64.2718775; 0.2718886
417.9371642; 33.2686434; 417.0759735; -0.0865977; -0.0000294; 64.2803363; 0.2710844
419.9368636; 33.4416566; 419.0681743; -0.0866591; -0.0000320; 64.2887689; 0.2694917
421.9365629; 33.6147972; 421.0603640; -0.0867254; -0.0000344; 64.2971509; 0.2686515
